1;1590;334;1515;793;1073;2472;1047;780;2351
2;2706;3561;1865;731;268;2951;3411;376;2752
3;439;3517;162;3610;3524;2934;2260;290;291
4;2540;682;1055;675;1578;245;3332;1064;3223
5;1034;796;1113;3576;994;1443;3490;1471;2564
6;3473;645;2382;3640;2140;2494;2005;2460;3337
7;2024;769;2026;1452;172;3107;545;2718;1584
8;1324;3025;3324;643;1638;2611;3084;2915;2515
9;1364;2878;3332;2378;1612;3478;922;3299;2390
10;2921;615;1416;2010;2067;2158;40;2641;2773
11;33;55;677;1235;907;564;3437;3170;3010
12;2455;3347;3345;793;806;120;26;2012;3355
13;1791;1576;1659;2859;2261;1495;1294;1321;2476
14;112;1491;557;74;1695;2905;643;413;1678
15;559;2974;2252;2764;3118;1624;1450;3640;940
16;2837;2813;3400;3633;1403;1688;1232;2102;2396
17;2762;1543;3300;2968;1747;1221;277;2563;847
18;1865;998;3256;2632;570;2016;2300;2716;498
19;485;2090;1596;196;13;3493;2926;1740;1549
20;1974;3209;1650;392;3562;1741;686;66;1543
21;3478;1426;89;2906;3107;258;3151;615;2617
22;3137;629;1601;3013;3180;3118;585;763;2551
23;417;398;2675;1228;2642;3245;3358;1330;3691
24;1761;1756;2113;425;206;2633;3212;3270;2178
25;2118;3425;3594;3212;723;794;1876;2454;899
26;3497;2672;795;509;1660;2438;3220;120;1933
27;1129;3343;8;2082;2980;2322;1392;2835;2290
28;2083;1439;1837;2791;416;1263;3119;626;3200
29;483;3325;38;2362;3421;2904;3241;2690;3535
30;614;2469;2000;183;587;338;2135;239;2242
31;817;73;3223;1650;2205;2155;3188;60;97
32;2698;2658;546;2093;1616;3606;2562;2037;2062
33;1912;1153;2759;241;2952;934;119;1924;355
34;2472;2038;1722;1408;3325;3111;3291;2918;3177
35;2879;3469;815;499;2673;1184;2426;449;1746
36;117;2726;277;1984;2971;661;1628;3057;269
37;2700;1312;1885;3244;3073;2487;2919;576;3597
38;1854;524;3225;2384;1485;3174;1376;2278;2589
39;643;1596;708;1616;3382;1267;701;2724;774
40;3175;3141;3489;2601;722;897;3264;2075;2144
41;1005;1441;3194;127;1318;1708;2101;204;446
42;2003;454;117;2501;3331;3258;2714;869;3086
43;711;3372;794;176;931;1102;557;83;1809
44;3232;2632;2903;2693;37;830;819;1881;1976
45;2845;2723;1094;938;2907;2314;3621;3182;2030
46;552;3117;2772;1543;1758;3455;907;3106;186
47;2986;2904;1094;585;2901;3094;1948;1502;1625
48;2522;3615;2413;1405;887;2469;2504;2030;79
49;263;2954;884;3566;1226;1285;2074;2350;1347
50;214;2382;3019;3339;980;3057;2272;2552;1393
51;474;1986;3386;1323;2550;2539;668;1799;1081
52;1429;415;1531;811;456;1010;3217;3102;3668
53;487;1291;70;3283;2188;1662;440;1115;2995
54;2769;2772;759;3666;1016;2762;1478;3021;974
55;3427;3395;3248;1644;305;1802;853;574;1375
56;1683;1291;3212;1410;1977;2008;1640;603;1324
57;921;3428;3095;1267;1763;1951;2242;560;1003
58;535;1869;3505;438;322;1211;1178;2174;3219
59;1550;1332;1073;3104;2986;3574;2842;1580;1453
60;2996;3202;432;2895;2907;2095;2460;387;2305
61;2813;2581;1597;1731;55;1904;177;2041;452
62;77;60;460;1752;2347;334;1214;350;2941
63;578;91;545;2752;407;1764;2874;86;2259
64;2762;2537;3084;1422;2186;30;2048;2704;1344
65;1510;1007;3047;1209;2465;1236;335;119;3705
66;973;310;300;1503;2123;3374;760;1258;45
67;2888;916;1463;3687;79;2635;1812;2182;3142
68;1528;1895;2391;3175;2563;127;2951;3417;2770
69;383;793;1617;125;1441;609;3097;3432;607
70;3173;3341;2236;1378;2725;2791;201;3525;1319
71;1072;3686;2985;916;2216;195;3386;3403;2833
72;819;2367;237;490;1578;3595;1888;3347;1491
73;1977;2233;1308;3186;1622;204;772;2636;3406
74;1975;800;1679;3379;508;1251;1139;311;2942
75;3372;1970;2586;812;868;2158;686;3291;3564
76;3052;3541;666;2002;270;2671;2592;2164;1724
77;2954;2053;1518;1044;183;1070;1663;1813;301
78;3107;1719;150;2343;1727;554;956;1589;1410
79;2266;1674;240;3637;1867;2841;555;3120;527
80;3506;2002;1515;265;1749;117;2005;1643;2017
81;3114;2721;416;2833;232;3671;394;2985;2604
82;3551;1683;2887;2540;2443;2309;921;705;3357
83;904;2044;3366;3655;2323;3222;1633;931;1693
84;111;164;780;53;1636;345;100;338;819
85;3490;2934;1484;385;3233;2690;376;279;1375
86;1588;3332;299;1584;1728;334;2690;1302;3205
87;783;2212;1423;2528;2590;3449;249;2053;2717
88;3142;2606;3084;3100;1455;67;3697;3325;1042
89;1941;1513;1643;205;3187;433;1187;2278;3475
90;1515;1748;3428;942;3057;8;3566;643;2157
91;3627;2315;734;3530;202;1080;1807;935;2082
92;3527;2772;2855;771;3318;3218;876;2360;789
93;2802;110;1014;771;1572;2690;2783;8;2149
94;715;439;287;2331;3286;1643;1874;2031;2205
95;2569;1314;232;1355;899;1350;211;3227;2654
96;1913;2287;675;1345;3632;3103;746;690;172
97;583;3488;48;3421;2305;183;876;341;370
98;75;3255;2451;369;2064;375;2864;1405;3527
99;1426;2837;3005;1636;380;644;2726;619;1867
100;2003;3163;3232;76;2077;3309;3695;3231;1052
101;317;3025;51;2172;1870;242;3031;818;777
102;1923;3308;2108;2939;94;1881;1572;1435;2934
103;2619;2452;2636;752;3647;2134;3638;2302;1751
104;2975;1108;1455;782;1271;2498;2082;1190;1278
105;2733;999;2026;2979;42;3405;3605;3562;3353
106;3652;2751;3221;2124;434;1255;1084;2066;3133
107;639;3609;2274;3647;615;523;3152;2482;3643
108;3069;3093;2999;607;898;2301;2813;2492;3643
109;1438;751;2078;2947;2895;1719;1613;974;1758
110;2540;2810;2863;1968;182;2165;37;2864;763
111;1559;3358;2618;3301;143;2840;2195;2839;1341
112;292;3397;2371;1365;3164;3252;1422;1342;568
113;1870;40;1765;1969;2492;3159;1413;3699;3426
114;2043;3565;3082;384;1080;644;2647;2330;2002
115;2387;1160;597;988;827;834;3207;1253;1661
116;1453;2784;786;1032;2299;2052;528;2708;3076
117;2365;3485;3616;1999;1116;1388;1987;2710;2252
118;2907;2155;2425;1082;1707;3397;1375;3208;2836
119;70;2608;1061;65;2475;66;2268;9;3625
120;264;2787;2291;3608;1544;2394;3116;716;350
121;205;2474;1441;3057;3088;805;2417;290;913
122;2605;2504;1056;1422;2594;1204;2464;3006;1660
123;0
124;2;6;7;10;14;20;21;23;24
125;1;6;8;10;16;18;21;22;24
126;2866;757;3384;3511;1184;271;3333;552;3665
127;249;1281;3483;2472;1565;3141;2872;531;2683
128;898;293;2084;3662;1071;63;604;3506;3541
129
130
131;1027;3453;979;2437;1715;2679;1808;587;2767
132;192;3329;2344;1317;1568;1633;2343;3543;1338
133;619;3046;70;136;3547;1608;890;134;883
134;145;1172;3260;552;1093;1192;1519;3233;2523
135
136;3419;884;2747;1558;2146;793;1708;662;1325
137;3232;1747;763;1668;3401;2770;1003;238;987
138
139;999;3561;550;928;615;262;3655;3563;1618
140;2399;268;1014;1829;2629;1034;578;221;961
141;1884;1514;2049;2474;568;1740;3302;3218;3162
142;2196;2650;3084;3254;1533;2113;3145;2636;3416
143;910;3561;250;376;1451;2598;2739;1525;586
144;772;2401;1398;2772;1264;66;2819;3179;2784
145;1555;1078;134;2788;2478;1722;2921;2007;1947
146;3114;1401;790;1530;3401;449;1244;293;3285
147;2272;1647;3088;996;2350;3423;3470;273;2168
148;2295;2898;1463;3396;1627;1617;351;1284;258
149;3419;2296;204;2028;2595;903;3657;2935;3421
150;2392;2824;640;2510;513;2076;1341;2071;553
151;1581;3165;2417;2605;3562;3175;3025;2342;264
152;2787;3660;2859;1426;2451;490;1635;2797;2731
153;2917;1311;3561;2296;1548;27;2364;534;3288
154;2162;1669;1478;1548;2738;187;2552;1319;1848
155;1558;1439;398;1904;2573;1717;124;3601;334
156;3450;381;4;2691;1393;898;3548;819;2881
157;1502;3416;1233;3063;2473;1241;94;1376;2935
158;1417;3222;1057;2946;3561;2145;3540;2576;3429
159;696;134;2295;1731;1689;3629;3324;2193;2408
160;1722;8;2295;656;1267;74;744;812;2747
161;1933;2438;795;3262;1668;3579;1480;1214;2976
162;3084;108;698;410;2089;242;1587;320;1427
163;2469;125;2176;529;2012;1285;2576;1378;457
164;3174;1217;105;150;1578;2031;2755;660;1351
165;134;3139;1628;1393;1610;3142;3436;2067;1750
166;2299;527;794;2283;1674;2007;2414;3544;3666
167;2393;2797;609;2240;3439;1817;1756;2987;3326
168;3355;1027;1354;807;2291;2925;3163;2901;1894
169;2704;1621;931;1244;3676;1078;3632;3202;499
170;934;3550;1223;910;2869;2262;3017;1453;1093
171;2632;1572;1578;70;184;1724;717;2638;1912
172;2126;1680;1492;3692;2904;1636;1377;1514;605
173;984;1241;2338;3436;3018;1525;3108;2420;2237
174;2048;3626;2654;3232;118;226;3027;150;1231
175;2005;1855;557;2521;3451;2564;3186;873;904
176;3428;1492;2810;204;3535;2386;3282;1562;3140
177;434;172;464;485;2875;678;2464;44;649
